cell,species,cell_types,genes,genome
235,Atopobiaceae_235,1,1631.5,
236,Coriobacteriaceae_236,1,2020.5,
237,Eggerthellaceae_237,1,2589.88,
238,Eggerthellaceae_238,1,2589.88,
239,Coriobacteriaceae_239,1,2020.5,
240,Eggerthellaceae_240,1,2589.88,
241,Iamiaceae_241,1,3668,
242,Ilumatobacteraceae_242,1,4342,
243,Iamiaceae_243,1,,
244,Acidimicrobiaceae_244,1,2092,
245,Nitriliruptoraceae_245,1,,
246,Euzebyaceae_246,1,,
247,Nakamurellaceae_247,1,4357.5,
248,Desulfarculaceae_248,1,3355,
249,Desulfosalsimonadaceae_249,1,,
250,Desulfocapsaceae_250,1,,
251,Desulfofabaceae_251,1,,
252,Desulfobulbaceae_252,1,3032,
253,Desulfobacteraceae_253,1,3807.4,
254,Desulfofabaceae_254,1,,
255,Syntrophorhabdaceae_255,1,,
256,Sandaracinaceae_256,1,,
257,Polyangiaceae_257,1,8434,
258,Polyangiaceae_258,1,8434,
259,Phaselicystidaceae_259,1,,
260,Polyangiaceae_260,1,8434,
261,Polyangiaceae_261,1,8434,
262,Nannocystaceae_262,1,,
263,Kofleriaceae_263,1,6952,
264,Anaeromyxobacteraceae_264,1,,
265,Archangiaceae_265,1,10004,
266,Myxococcaceae_266,1,7863.33,
267,Myxococcaceae_267,1,7863.33,
268,Archangiaceae_268,1,10004,
269,Archangiaceae_269,1,10004,
270,Desulfuromonadaceae_270,1,,
271,Desulfuromonadaceae_271,1,,
272,Desulfuromonadaceae_272,1,,
273,Syntrophotaleaceae_273,1,3234,
274,Geobacteraceae_274,1,3810.44,
275,Syntrophaceae_275,1,,
276,Syntrophobacteraceae_276,1,3428,
277,Desulfurellaceae_277,1,1827.5,
278,Desulfohalobiaceae_278,1,,
279,Desulfonatronaceae_279,1,,
280,Desulfovibrionaceae_280,1,3814.5,
281,Desulfomicrobiaceae_281,1,3093.5,
282,Candidatus_Competibacteraceae_282,1,,
283,Salinisphaeraceae_283,1,,
284,Acidiferrobacteraceae_284,1,,
285,Celerinatantimonadaceae_285,1,,
286,Orbaceae_286,1,,
287,Kangiellaceae_287,1,2478.33,
288,Arenicellaceae_288,1,,
289,Moraxellaceae_289,1,3145.5,
290,Moraxellaceae_290,1,3145.5,
291,Moraxellaceae_291,1,3145.5,
292,Marinobacteraceae_292,1,,
293,Pseudomonadaceae_293,1,6617.03,
294,Oleiphilaceae_294,1,,
295,Hahellaceae_295,1,6875,
296,Zooshikellaceae_296,1,,
297,Endozoicomonadaceae_297,1,5703,
298,Litoricolaceae_298,1,,
299,Saccharospirillaceae_299,1,5423,
300,Balneatrichaceae_300,1,,
301,Oceanospirillaceae_301,1,3871.67,
302,Halomonadaceae_302,1,4329.33,
303,Pleioneaceae_303,1,,
304,Alcanivoracaceae_304,1,3641,
305,Perlucidibacaceae_305,1,,
306,Vibrionaceae_306,1,4799.13,
307,Pasteurellaceae_307,1,127.13,
308,Yersiniaceae_308,1,4902,
309,Yersiniaceae_309,1,4902,
310,Morganellaceae_310,1,4528,
311,Enterobacteriaceae_311,1,4744.56,
312,Erwiniaceae_312,1,3755,
313,Thorselliaceae_313,1,,
314,Yersiniaceae_314,1,4902,
315,Yersiniaceae_315,1,4902,
316,Yersiniaceae_316,1,4902,
317,Pectobacteriaceae_317,1,4478.75,
318,Pectobacteriaceae_318,1,4478.75,
319,Budviciaceae_319,1,,
320,Bruguierivoracaceae_320,1,4385,
321,Pectobacteriaceae_321,1,4478.75,
322,Hafniaceae_322,1,4905,
323,Yersiniaceae_323,1,4902,
324,Moritellaceae_324,1,,
325,Shewanellaceae_325,1,4400.08,
326,Ferrimonadaceae_326,1,3947,
327,Colwelliaceae_327,1,,
328,Pseudoalteromonadaceae_328,1,4248,
329,Psychromonadaceae_329,1,3877,
330,Alteromonadaceae_330,1,4309.5,
331,Idiomarinaceae_331,1,2706,
332,Rhodanobacteraceae_332,1,3966.67,
333,Rhodanobacteraceae_333,1,3966.67,
334,Xanthomonadaceae_334,1,4075.11,
335,Rhodanobacteraceae_335,1,3966.67,
336,Rhodanobacteraceae_336,1,3966.67,
337,Cardiobacteriaceae_337,1,,
338,Thiotrichaceae_338,1,3956,
339,Thiotrichaceae_339,1,3956,
340,Fastidiosibacteraceae_340,1,,
341,Francisellaceae_341,1,1824,
342,Piscirickettsiaceae_342,1,2583.8,
343,Legionellaceae_343,1,3245.4,
344,Coxiellaceae_344,1,,
345,Ectothiorhodospiraceae_345,1,2900,
346,Ectothiorhodospiraceae_346,1,2900,
347,Chromatiaceae_347,1,3584.33,
348,Methylothermaceae_348,1,,
349,Methylococcaceae_349,1,4058,
350,Halothiobacillaceae_350,1,,
351,Halothiobacillaceae_351,1,,
352,Thioalkalibacteraceae_352,1,,
353,Thioprofundaceae_353,1,,
354,Thioalkalispiraceae_354,1,,
355,Granulosicoccaceae_355,1,6850,
356,Steroidobacteraceae_356,1,3150,
357,Algiphilaceae_357,1,,
358,Sinobacteraceae_358,1,,
359,Spongiibacteraceae_359,1,,
360,Microbulbiferaceae_360,1,,
361,Cellvibrionaceae_361,1,3920.33,
362,Porticoccaceae_362,1,,
363,Halieaceae_363,1,,
364,Spongiibacteraceae_364,1,,
365,Aeromonadaceae_365,1,3792.2,
366,Succinivibrionaceae_366,1,,
367,Rhodocyclaceae_367,1,3220.5,
368,Zoogloeaceae_368,1,4902,
369,Zoogloeaceae_369,1,4902,
370,Azonexaceae_370,1,,
371,Comamonadaceae_371,1,4539.89,
372,Sutterellaceae_372,1,,
373,Alcaligenaceae_373,1,4485.64,
374,Comamonadaceae_374,1,4539.89,
375,Burkholderiaceae_375,1,6173.38,
376,Oxalobacteraceae_376,1,5132.75,
377,Neisseriaceae_377,1,2394.75,
378,Chromobacteriaceae_378,1,4550,
379,Thiobacillaceae_379,1,,
380,Nitrosomonadaceae_380,1,3498,
381,Sulfuricellaceae_381,1,3343,
382,Methylophilaceae_382,1,2694,
383,Spirillaceae_383,1,,
384,Gallionellaceae_384,1,2733,
385,Sterolibacteriaceae_385,1,3668,
386,Robiginitomaculaceae_386,1,,
387,Hyphomonadaceae_387,1,3421.5,
388,Maricaulaceae_388,1,,
389,Caedimonadaceae_389,1,,
390,Pelagibacteraceae_390,1,,
391,Anaplasmataceae_391,1,1609.29,
392,Rickettsiaceae_392,1,,
393,Parvularculaceae_393,1,2733,
394,Caulobacteraceae_394,1,3980,
395,Salinarimonadaceae_395,1,,
396,Chelatococcaceae_396,1,,
397,Methylobacteriaceae_397,1,6382.13,
398,Boseaceae_398,1,,
399,Beijerinckiaceae_399,1,3910.5,
400,Hyphomicrobiaceae_400,1,3501.83,
401,Reyranellaceae_401,1,,
402,Rhodovibrionaceae_402,1,,
403,Pseudoxanthobacteraceae_403,1,,
404,Amorphaceae_404,1,,
405,Phreatobacteraceae_405,1,,
406,Methylocystaceae_406,1,4824,
407,Breoghaniaceae_407,1,,
408,Cohaesibacteraceae_408,1,,
409,Aurantimonadaceae_409,1,4530,
410,Phyllobacteriaceae_410,1,5166.5,
411,Ahrensiaceae_411,1,,
412,Phyllobacteriaceae_412,1,5166.5,
413,Rhizobiaceae_413,1,5821,
414,Bartonellaceae_414,1,1738.67,
415,Brucellaceae_415,1,3524.5,
416,Bradyrhizobiaceae_416,1,5970.7,
417,Xanthobacteraceae_417,1,4823.4,
418,Aurantimonadaceae_418,1,4530,
419,Tepidamorphaceae_419,1,,
420,Afifellaceae_420,1,,
421,Blastochloridaceae_421,1,,
422,Kaistiaceae_422,1,,
423,Stappiaceae_423,1,,
424,Alsobacteraceae_424,1,,
425,Pleomorphomonadaceae_425,1,,
426,Parvibaculaceae_426,1,3714,
427,Devosiaceae_427,1,,
428,Rhodobiaceae_428,1,,
429,Rhodobacteraceae_429,1,4011.9,
430,Roseobacteraceae_430,1,,
431,Roseobacteraceae_431,1,,
432,Roseobacteraceae_432,1,,
433,Rhodobacteraceae_433,1,4011.9,
434,Roseobacteraceae_434,1,,
435,Zymomonadaceae_435,1,,
436,Sphingosinicellaceae_436,1,,
437,Sphingomonadaceae_437,1,,
438,Erythrobacteraceae_438,1,3129,
439,Rhodospirillaceae_439,1,3812.8,
440,Rhodospirillaceae_440,1,3812.8,
441,Thalassobaculaceae_441,1,,
442,Stellaceae_442,1,,
443,Terasakiellaceae_443,1,,
444,Kiloniellaceae_444,1,,
445,Thalassospiraceae_445,1,,
446,Azospirillaceae_446,1,,
447,Stellaceae_447,1,,
448,Elioraeaceae_448,1,,
449,Acetobacteraceae_449,1,3365.2,
450,Geminicoccaceae_450,1,,
451,Holosporaceae_451,1,,
452,Kordiimonadaceae_452,1,,
453,Rhodothalassiaceae_453,1,,
454,Magnetococcaceae_454,1,3823,
455,Sneathiellaceae_455,1,,
456,Micropepsaceae_456,1,,
457,Acidithiobacillaceae_457,1,3139,
458,Thermithiobacillaceae_458,1,,
459,Hydrogenophilaceae_459,1,,
460,Bacteriovoracaceae_460,1,,
461,Halobacteriovoraceae_461,1,3269,
462,Bdellovibrionaceae_462,1,3145.5,
463,Bryobacterales_463,1,,
464,Acidobacteriaceae_464,1,751.33,
465,Holophagaceae_465,1,,
466,Acanthopleuribacteraceae_466,1,,
467,Nitratiruptoraceae_467,1,,
468,Arcobacteraceae_468,1,,
469,Campylobacteraceae_469,1,2278.83,
470,Sulfurovaceae_470,1,2212,
471,Thiovulaceae_471,1,2550.75,
472,Helicobacteraceae_472,1,1882.38,
473,Sulfurovaceae_473,1,2212,
474,Hydrogenimonaceae_474,1,,
475,Nautiliaceae_475,1,1788,
476,Leptospiraceae_476,1,3875,
477,Brevinemataceae_477,1,,
478,Brachyspiraceae_478,1,2698,
479,Spirochaetaceae_479,1,3527.67,
480,Spirochaetaceae_480,1,3527.67,
481,Sphaerochaetaceae_481,1,,
482,Treponemataceae_482,1,,
483,Borreliaceae_483,1,1290.29,
484,Salinibacteraceae_484,1,,
485,Marinifilaceae_485,1,,
486,Porphyromonadaceae_486,1,2007.33,
487,Bacteroidaceae_487,1,4107.2,
488,Paludibacteraceae_488,1,4131,
489,Dysgonomonadaceae_489,1,2770,
490,Tannerellaceae_490,1,3881.67,
491,Barnesiellaceae_491,1,,
492,Odoribacteraceae_492,1,3746,
493,Rikenellaceae_493,1,3302,
494,Prevotellaceae_494,1,2650.25,
495,Marinilabiliaceae_495,1,,
496,Prolixibacteraceae_496,1,4023,
497,Luteibaculaceae_497,1,,
498,Cryomorphaceae_498,1,,
499,Schleiferiaceae_499,1,3563,
500,Blattabacteriaceae_500,1,,
501,Crocinitomicaceae_501,1,4131,
502,Weeksellaceae_502,1,2519.17,
503,Flavobacteriaceae_503,1,3401.07,
504,Marivirgaceae_504,1,3857,
505,Hymenobacteraceae_505,1,4536.25,
506,Flexibacteraceae_506,1,,
507,Spirosomaceae_507,1,,
508,Cytophagaceae_508,1,5249,
509,Thermonemataceae_509,1,,
510,Bernardetiaceae_510,1,4090,
511,Flammeovirgaceae_511,1,5297,
512,Persicobacteraceae_512,1,,
513,Mooreiaceae_513,1,,
514,Cesiribacteraceae_514,1,,
515,Reichenbachiellaceae_515,1,,
516,Reichenbachiellaceae_516,1,,
517,Fulvivirgaceae_517,1,,
518,Roseivirgaceae_518,1,3773,
519,Catalimonadaceae_519,1,,
520,Microscillaceae_520,1,,
521,Cyclobacteriaceae_521,1,4677.75,
522,Thermoflexibacteraceae_522,1,,
523,Sphingobacteriaceae_523,1,4645.67,
524,Haliscomenobacteraceae_524,1,6918,
525,Saprospiraceae_525,1,,
526,Lewinellaceae_526,1,,
527,Chitinophagaceae_527,1,5892.75,
528,Rhodothermaceae_528,1,2932,
529,Salisaetaceae_529,1,,
530,Rubricoccaceae_530,1,,
531,Balneolaceae_531,1,,
532,Ignavibacteriaceae_532,1,3243,
533,Melioribacteraceae_533,1,2888,
534,Chlorobiaceae_534,1,2496.38,
535,Isosphaeraceae_535,1,5753,
536,Planctomycetaceae_536,1,,
537,Pirellulaceae_537,1,5894.67,
538,Gemmataceae_538,1,,
539,Phycisphaeraceae_539,1,3335,
540,Waddliaceae_540,1,1999,
541,Parachlamydiaceae_541,1,,
542,Simkaniaceae_542,1,2560,
543,Parachlamydiaceae_543,1,,
544,Chlamydiaceae_544,1,1020.33,
545,Fusobacteriaceae_545,1,2667.86,
546,Leptotrichiaceae_546,1,2364.25,
547,Mesoaciditogaceae_547,1,,
548,Kosmotogaceae_548,1,2274.25,
549,Petrotogaceae_549,1,2071.5,
550,Thermotogaceae_550,1,1965.67,
551,Fervidobacteriaceae_551,1,1969.33,39.86
552,Pycnococcaceae_552,7,,
553,Dolichomastigales_553,7,,
554,Monomastigaceae_554,7,,
555,Mamiellaceae_555,7,9525.67,
556,Bathycoccaceae_556,7,7720.33,
557,Pyramimonadaceae_557,7,,
558,Chlorellaceae_558,7,9791,
559,Chlamydomonadaceae_559,7,16143.5,
560,Volvocaceae_560,7,14756.5,
561,Tetrabaenaceae_561,7,,
562,Chlamydomonadaceae_562,7,16143.5,
563,Dunaliellaceae_563,7,,
564,Characiochloridaceae_564,7,,
565,Chlorococcaceae_565,7,,
566,Phacotaceae_566,7,,
567,Haematococcaceae_567,7,,
568,Spondylomoraceae_568,7,,
569,Palmellopsidaceae_569,7,,
570,Astrephomenaceae_570,7,,
571,Sphaeropleales_571,7,,
572,Protosiphonaceae_572,7,,
573,Oedogoniaceae_573,7,,
574,Chaetophoraceae_574,7,,
575,Trentepohliaceae_575,7,,
576,Oltmannsiellopsidaceae_576,7,,
577,Ulotrichaceae_577,7,,
578,Tupiellaceae_578,7,,
579,Ulvaceae_579,7,,
580,Caulerpaceae_580,7,,
581,Bryopsidaceae_581,7,,
582,Ostreobiaceae_582,7,,
583,Halimedaceae_583,7,,
584,Halimedaceae_584,7,,
585,Halimedaceae_585,7,,
586,Halimedaceae_586,7,,
587,Halimedaceae_587,7,,
588,Halimedaceae_588,7,,
589,Halimedaceae_589,7,,
590,Dichotomosiphonaceae_590,7,,
591,Bryopsidaceae_591,7,,
592,Codiaceae_592,7,,
593,Derbesiaceae_593,7,,
594,Bryopsidaceae_594,7,,
595,Dasycladaceae_595,7,,
596,Dasycladaceae_596,7,,
597,Polyphysaceae_597,7,,
598,Prasinococcaceae_598,7,,
599,Nephroselmidaceae_599,7,,
600,Treubiaceae_600,30,,
601,Haplomitriaceae_601,30,,
602,Makinoaceae_602,30,,
603,Allisoniaceae_603,30,,
604,Petalophyllaceae_604,30,,
605,Fossombroniaceae_605,30,,
606,Hymenophytaceae_606,30,,
607,Moerckiaceae_607,30,,
608,Pallaviciniaceae_608,30,,
